student_number,full_name,programme,year_of_study
202200001,Tebogo Mokobi,Bachelor of Science Computer Science,4
202200002,Kelebogile Sithole,Bachelor of Engineering Electrical,3
202200003,Mpho Kgosi,Bachelor of Commerce Accounting,2
202200004,Naledi Botlhale,Bachelor of Laws,1
202200005,Thato Molefe,Bachelor of Science Computer Science,2
202200006,Goitseone Moseki,Bachelor of Education,3
202200007,Boitumelo Phiri,Bachelor of Social Work,1
202200008,Onkemetse Tau,Bachelor of Science Biology,4
202200009,Kagiso Nkosi,Bachelor of Business Administration,2
202200010,Dineo Segaetsho,Bachelor of Science Computer Science,3
202200011,Lorato Keabetswe,Bachelor of Medicine and Surgery,2
202200012,Refilwe Dithebe,Bachelor of Nursing,1
202200013,Phenyo Selato,Bachelor of Engineering Civil,4
202200014,Tshepo Gaobuse,Bachelor of Commerce Finance,3
202200015,Amantle Seretse,Bachelor of Arts English,2
202200016,Bogosi Ramotswe,Bachelor of Science Mathematics,1
202200017,Keitumetse Lekgowe,Bachelor of Public Health,3
202200018,Olebogeng Motshegwa,Bachelor of Engineering Mechanical,2
202200019,Gaone Tlharesagae,Bachelor of Science Computer Science,1
202200020,Masego Mmolawa,Bachelor of Commerce Marketing,4
202200021,Ditiro Tau,Bachelor of Laws,2
202200022,Sethebe Manale,Bachelor of Science Physics,3
202200023,Bame Motlhanka,Bachelor of Architecture,1
202200024,Onthatile Gabaake,Bachelor of Arts Sociology,4
202200025,Kgomotso Pheto,Bachelor of Science Computer Science,2
202200026,Mosimanegape Kgaswane,Bachelor of Engineering Electrical,3
202200027,Letso Mokgwathi,Bachelor of Commerce Accounting,1
202200028,Bontle Setlhare,Bachelor of Education Mathematics,4
202200029,Tumelo Motsepe,Bachelor of Science Chemistry,2
202200030,Oratile Kefilwe,Bachelor of Nursing,3
