student_number,full_name,ub_email,programme,year_of_study
202200101,Tebogo Mokobi,naphtalypriscilla+tebogo@gmail.com,Bachelor of Science Computer Science,4
202200102,Kelebogile Sithole,naphtalypriscilla+kelebogile@gmail.com,Bachelor of Engineering,3
202200103,Mpho Kgosi,naphtalypriscilla+mpho@gmail.com,Bachelor of Commerce,2
202200104,Naledi Botlhale,naphtalypriscilla+naledi@gmail.com,Bachelor of Laws,1
202200105,Thato Molefe,naphtalypriscilla+thato@gmail.com,Bachelor of Science Computer Science,2
202200106,Goitseone Moseki,naphtalypriscilla+goitseone@gmail.com,Bachelor of Education,3
202200107,Boitumelo Phiri,naphtalypriscilla+boitumelo@gmail.com,Bachelor of Social Work,1
202200108,Onkemetse Tau,naphtalypriscilla+onkemetse@gmail.com,Bachelor of Science,4
202200109,Kagiso Nkosi,naphtalypriscilla+kagiso@gmail.com,Bachelor of Business Administration,2
202200110,Dineo Segaetsho,naphtalypriscilla+dineo@gmail.com,Bachelor of Science Computer Science,3
202200111,Lorato Seretse,naphtalypriscilla+lorato@gmail.com,Bachelor of Arts,2
202200112,Otsile Mmegi,naphtalypriscilla+otsile@gmail.com,Bachelor of Engineering,4
202200113,Keitumetse Dube,naphtalypriscilla+keitumetse@gmail.com,Bachelor of Nursing,1
202200114,Phenyo Motswagole,naphtalypriscilla+phenyo@gmail.com,Bachelor of Science Computer Science,3
202200115,Gaone Tsheko,naphtalypriscilla+gaone@gmail.com,Bachelor of Commerce,2
202200116,Refilwe Moagi,naphtalypriscilla+refilwe@gmail.com,Bachelor of Laws,4
202200117,Baleseng Letsholo,naphtalypriscilla+baleseng@gmail.com,Bachelor of Education,1
202200118,Tumelo Gaolathe,naphtalypriscilla+tumelo@gmail.com,Bachelor of Business Administration,3
202200119,Ntombi Ndaba,naphtalypriscilla+ntombi@gmail.com,Bachelor of Social Work,2
202200120,Olebogeng Sechele,naphtalypriscilla+olebogeng@gmail.com,Bachelor of Science,1
202200121,Botshelo Rammidi,naphtalypriscilla+botshelo@gmail.com,Bachelor of Arts,4
202200122,Mothusi Kgathi,naphtalypriscilla+mothusi@gmail.com,Bachelor of Engineering,2
202200123,Gorata Ntshole,naphtalypriscilla+gorata@gmail.com,Bachelor of Nursing,3
202200124,Tiro Molefi,naphtalypriscilla+tiro@gmail.com,Bachelor of Science Computer Science,1
202200125,Lesego Garebagwe,naphtalypriscilla+lesego@gmail.com,Bachelor of Commerce,4
202200126,Kago Motlhabane,naphtalypriscilla+kago@gmail.com,Bachelor of Laws,2
202200127,Masego Letlhogile,naphtalypriscilla+masego@gmail.com,Bachelor of Education,3
202200128,Ditiro Rantsimako,naphtalypriscilla+ditiro@gmail.com,Bachelor of Business Administration,1
202200129,Bontle Modise,naphtalypriscilla+bontle@gmail.com,Bachelor of Science,2
202200130,Gofaone Mphathi,naphtalypriscilla+gofaone@gmail.com,Bachelor of Arts,4
